trajectory,step,metric,mean,delta_from_base,ci95_low,ci95_high,increased_items,n
checkpoint-500,500,attention_train3_mean_lift,0.048309005197650155,0.033039031180234754,0.028295508836290745,0.039037564188711536,24,24
checkpoint-500,500,audio_entropy,1.0437798438491555,-0.08911728022284077,-0.0983520320530423,-0.08050074887891656,0,24
checkpoint-500,500,text_entropy,1.2552822420605116,-0.07429991884685751,-0.08251230262515463,-0.06654496816116391,0,24
checkpoint-500,500,entropy_delta,0.2115023982113563,0.01481736137598325,0.009740921825946255,0.019945012442704066,22,24
checkpoint-500,500,entropy_delta_abs,0.30258677881738216,0.012002682174856122,0.008908284631199066,0.014984965354616056,23,24
checkpoint-500,500,training_reference_entropy_delta_abs,0.3259548384819679,0.05223801768071832,0.04413466458045688,0.06087783181686006,24,24
checkpoint-500,500,audio_silence_logprob_delta,0.3648864451059393,0.016666693511682918,0.011930703056652938,0.02135548395183277,21,24
checkpoint-500,500,current_no_features_entropy,1.2441975436420323,-0.0748693126755171,-0.08261085412174442,-0.06745580577612581,0,24
checkpoint-500,500,refreshed_reference_entropy_delta,0.2004176997928769,0.014247967547323664,0.009125651782399102,0.019106784497395127,22,24
checkpoint-500,500,refreshed_reference_entropy_delta_abs,0.2843628080329078,0.010645987231658235,0.007852573539402337,0.013156854619637228,22,24
checkpoint-500,500,preceding_reference_entropy_delta,0.19957378287955405,0.013404050634000832,0.008366104312777166,0.01808545385401713,21,24
checkpoint-500,500,preceding_reference_entropy_delta_abs,0.2846709931177059,0.010954172316456304,0.008267192116874857,0.013346093054221613,23,24
checkpoint-500,500,attention_max_late_early_lift,1.4366398459496186,0.32086441691966366,0.057900278049870045,0.5843813490759374,17,24
checkpoint-500,500,attention_mean_late_early_lift,1.4648218789787064,0.2557588006249245,0.021444560416947374,0.4958789877378688,17,24
